city_state,state_clean,city_clean,shooting_count,avg_victim_age,pct_male,pct_minority,pct_unarmed,pct_mental_illness,pct_body_camera,avg_city_population,avg_police_dollars,avg_police_city_dollars,avg_police_cnty_dollars,years_with_data,latest_year,shooting_rate_per_100k,police_budget_per_capita,budget_tercile,shooting_count_tercile,shooting_rate_tercile,budget_category,shooting_frequency,population_size,shooting_rate_category,unarmed_category,minority_category,mental_illness_category
"Warren, OH",OH,Warren,1,44,1,0,0,1,0,48872.121951219517,218900243.90243897,168320487.80487809,50579268.292682916,41,2017,2.0461562953990926,4479.0411212537238,3,1,1,High_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,Low_Minority,Frequent_Mental
"Charleston, SC",SC,Charleston,1,32,1,1,0,0,0,97534.170731707331,366433658.53658533,268575365.85365856,97858780.48780486,41,2017,1.0252816961460161,3756.9772294938025,3,1,1,High_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,High_Minority,Rare_Mental
"Euclid, OH",OH,Euclid,1,23,1,1,0,0,1,54126.658536585361,263966829.2682927,239501707.31707314,24278536.585365854,41,2017,1.8475184447679855,4876.8358588009251,3,1,1,High_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,High_Minority,Rare_Mental
"Sioux Falls, SD",SD,Sioux Falls,1,37,1,0,0,0,0,118959.39024390242,185214634.1463415,151383170.73170727,33830975.6097561,41,2017,0.840623004161084,1556.9568217069368,2,1,1,Medium_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,Low_Minority,Rare_Mental
"Provo, UT",UT,Provo,1,24,1,0,0,1,0,95500.365853658543,143159024.39024389,115727317.07317075,27431707.31707317,41,2017,1.0471164074202244,1499.0416330929645,2,1,1,Medium_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,Low_Minority,Frequent_Mental
"Providence, RI",RI,Providence,1,32,1,0,0,0,1,168969.63414634147,298872926.82926822,298872926.82926822,,41,2017,0.59182231473255043,1768.7966736698968,2,1,1,Medium_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,Low_Minority,Rare_Mental
"Warren, MI",MI,Warren,1,34,1,1,0,0,0,144796.31707317074,304629756.09756094,264600487.80487809,40029512.195121966,41,2017,0.69062530056939531,2103.8501686725958,2,1,1,Medium_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,High_Minority,Rare_Mental
"Albany, NY",NY,Albany,1,20,1,0,0,1,0,99438.2682926829,451013414.63414633,416136585.36585367,34876829.26829268,41,2017,1.0056490495758004,4535.6121177276564,3,1,1,High_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,Low_Minority,Frequent_Mental
"Hartford, CT",CT,Hartford,1,41,1,1,0,0,1,130789.17073170729,379663658.53658539,379636829.26829255,,41,2017,0.76458929619741789,2902.8676947222461,3,1,1,High_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,High_Minority,Rare_Mental
"Frederick, MD",MD,Frederick,1,45,1,1,0,0,0,48140.780487804856,348742439.02439016,282529756.097561,66211463.414634146,41,2017,2.0772409376564274,7244.2207103961364,3,1,1,High_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,High_Minority,Rare_Mental
"Dearborn Heights, MI",MI,Dearborn Heights,1,38,1,0,0,0,0,66013.268292682929,218930243.90243906,202495121.95121953,16435609.756097561,41,2017,1.5148469782867007,3316.4581843118017,3,1,1,High_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,Low_Minority,Rare_Mental
"Erie, PA",PA,Erie,1,46,1,0,0,0,0,108256.41463414635,174868780.48780492,169314390.24390242,5553902.4390243907,41,2017,0.92373279068913383,1615.3202660440561,2,1,1,Medium_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,Low_Minority,Rare_Mental
"Huntington, WV",WV,Huntington,1,41,1,0,0,0,0,54825.463414634141,223260243.90243903,195227073.17073169,28032439.024390239,41,2017,1.8239699908000733,4072.1998501675389,3,1,1,High_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,Low_Minority,Rare_Mental
"Fall River, MA",MA,Fall River,1,19,1,1,0,0,0,91493.975609756075,209297073.17073172,207674878.04878053,1623170.7317073175,41,2017,1.0929681362467423,2287.5503198531273,2,1,1,Medium_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,High_Minority,Rare_Mental
"Grand Rapids, MI",MI,Grand Rapids,1,18,1,1,0,0,1,190472.31707317077,268287317.07317072,233785365.85365856,34502439.02439025,41,2017,0.52501067628417919,1408.5370577505339,2,1,1,Medium_Budget,Few_Shootings,Small,Low_Rate,None_Unarmed,High_Minority,Rare_Mental
